Q3 FINANCIAL FORECAST - STRICTLY CONFIDENTIAL
Prepared by: Finance Department, June 2025
Distribution: CFO, VP Finance, Regional Controllers
Classification: Internal - Restricted

EXECUTIVE SUMMARY
Total projected revenue for Q3 2025 is USD 47.2M across all regions,
representing a 12.3% increase over Q2 actuals. EMEA continues to face
FX headwinds, with EUR/USD depreciation impacting reported margins by
approximately 2.4 percentage points. North America remains the growth
engine, driven by enterprise software renewals and new cloud service
contracts signed in Q2.

DETAILED PROJECTIONS BY REGION AND MONTH

Month,Region,Product Line,Revenue,COGS,Gross Profit,Margin %,Units,ASP,New Deals,Pipeline
July,North America,Cloud Services,,,,50.0%,847,,23,.2M
July,North America,Enterprise Software,,,,60.0%,156,,8,.1M
July,North America,Consulting,,,,30.0%,42,,12,
July,EMEA,Cloud Services,,,,45.0%,523,,15,.8M
July,EMEA,Enterprise Software,,,,55.0%,89,,5,.4M
July,EMEA,Consulting,,,,25.0%,31,,7,
July,APAC,Cloud Services,,,,44.9%,312,,9,.5M
July,APAC,Enterprise Software,,,,55.0%,34,,3,
August,North America,Cloud Services,,,,50.0%,891,,27,.5M
August,North America,Enterprise Software,,,,60.0%,162,,9,.3M
August,North America,Consulting,,,,30.0%,45,,14,
August,EMEA,Cloud Services,,,,44.9%,541,,16,.9M
August,EMEA,Enterprise Software,,,,55.0%,93,,6,.5M
August,EMEA,Consulting,,,,25.0%,29,,6,
August,APAC,Cloud Services,,,,45.0%,334,,11,.6M
August,APAC,Enterprise Software,,,,55.0%,36,,4,
September,North America,Cloud Services,,,,50.0%,934,,31,.8M
September,North America,Enterprise Software,,,,60.0%,168,,11,.5M
September,North America,Consulting,,,,30.0%,48,,15,
September,EMEA,Cloud Services,,,,44.9%,564,,18,.1M
September,EMEA,Enterprise Software,,,,55.0%,98,,7,.6M
September,EMEA,Consulting,,,,25.0%,30,,7,
September,APAC,Cloud Services,,,,45.0%,348,,12,.7M
September,APAC,Enterprise Software,,,,55.0%,38,,5,

RISK FACTORS
1. EUR/USD volatility - hedging covers 60% of EMEA revenue through September
2. Two enterprise deals (combined .2M) in APAC at risk of slipping to Q4
3. Cloud infrastructure costs increasing 8% QoQ due to GPU compute demand
4. Consulting utilization in EMEA below target (72% vs 80% plan)
5. Potential regulatory impact on data sovereignty deals in Singapore

ASSUMPTIONS
- No major macroeconomic disruption
- Headcount additions (23 planned) onboard by August 1
- Product launch (Analytics v3.0) on track for August 15
- Customer churn rate holds at current 2.8% monthly

Prepared by: Sarah Chen, VP Finance
Reviewed by: Michael Torres, CFO
Date: June 14, 2025
Next revision: July 5, 2025
